Nume,Tip,Nivel,Latitudine,Longitudine,Județ,Formă,ID,ID Părinte,Nume 1,Hartă 1,Limbă 1,Nume 2,Hartă 2,Limbă 2,Nume 3,Hartă 3,Limbă 3
Lunka Korbu,corb,2,44.6874662685325,24.7653147575343,Arges,Localitate,5820,,Lunka Korbu,Austriacă,Limba română,Lunca Corbului,Geomil 25000,Limba română
Malul Corbului,corb,2,45.3390729315642,25.1734328236189,Arges,Înălțime,5044,5043,Malul Corbului,Geomil 25000,Limba română
Pârâul Malul Corbului,corb,2,45.2127613560934,24.6448988078015,Arges,Vale,11114,,Pârâul Malul Corbului,PDT,Limba română
Piscul Corbului,corb,2,44.9516112120981,24.9848692426996,Arges,Înălțime,8348,,Piscul Corbului,PDT,Limba română
Plaiul Râpa Corbului,corb,2,45.161590113541,25.0475071047472,Arges,Înălțime,14528,,Plaiul Râpa Corbului,PDT,Limba română
Râpa Corbului,corb,2,45.2964648036449,24.6758789431897,Arges,Altele,1432,,Râpa Corbului,Geomil 25000,Limba română
Valea Corbu,corb,2,44.9771032628296,24.8089516543464,Arges,Vale,6891,,Valea Corbu,Geomil 25000,Limba română
Valea Corbu,corb,2,44.8621350493631,24.7333114918963,Arges,Vale,9362,,Valea Corbu,Geomil 25000,Limba română
Valea Corbului,corb,2,45.1837657288324,24.8211750405064,Arges,Vale,4972,,Valea Corbului,Geomil 25000,Limba română,Valea Corbului,PDT,Limba română
Valea Corbului,corb,2,45.3838672091057,25.07110769342,Arges,Vale,5023,,Valea Corbului,Geomil 25000,Limba română
Valea Corbului,corb,2,44.9533649652944,24.9878395661477,Arges,Vale,8349,8348,Valea Corbului,PDT,Limba română
Valea Corbului,corb,2,44.907733990967,25.0385159396357,Arges,Vale,8354,,Valea Corbului,PDT,Limba română
Valea Corbului,corb,2,44.9111825816564,25.0328576535999,Arges,Localitate,8356,8354,Valea Corbului,Geomil 25000,Limba română
Valea Corbului,corb,2,45.1095522498365,25.1168377075219,Arges,Vale,8446,,Valea Corbului,PDT,Limba română
Valea Corbului,corb,2,44.8786107767796,24.6811718549029,Arges,Vale,9363,,Valea Corbului,Geomil 25000,Limba română
Valea Corbului,corb,2,45.2166702453296,24.544634400551,Arges,Vale,13977,,Valea Corbului,PDT,Limba română
Valea Corbului,corb,2,44.9707245554371,25.0832184948575,Arges,Vale,14167,,Valea Corbului,PDT,Limba română
Arșița Piatra Corbului,corb,2,46.5427578101762,26.4333138165746,Bacau,Altele,9164,9163,Arșița Piatra Corbului,PDT,Limba română
Bâtca la Pana Corbului,corb,2,46.5206106852747,26.3433784454166,Bacau,Înălțime,6545,,Bâtca la Pana Corbului,PDT,Limba română
Corbu,corb,2,46.5738825381235,27.2924698181834,Bacau,Localitate,9503,,Corbu,PDT,Limba română
Corbu,corb,2,46.2361983448898,26.8821501121365,Bacau,Localitate,11968,,Corbu,Moldova (1892-1898),Limba română
Corbul,corb,2,46.6220029733755,26.360122720202,Bacau,Înălțime,4603,,Corbul,Geomil 25000,Limba română
Dealul Corbului,corb,2,46.18345369911,26.6803000178521,Bacau,Deal,5310,,Dealul Corbului,PDT,Limba română,Dealul Corbului,Geomil 25000,Limba română
Dealul Corbului,corb,2,46.5721364196673,27.2954492528355,Bacau,Deal,9504,9503,Dealul Corbului,Geomil 25000,Limba română
Dealul Corbului,corb,2,46.5038624051402,27.0684741992685,Bacau,Deal,12248,,Dealul Corbului,Geomil 25000,Limba română
Dealul Cuibul Corbului,corb,2,46.41004773557,26.5238753027234,Bacau,Deal,4587,,Dealul Cuibul Corbului,Geomil 25000,Limba română
Dosul Corbului,corb,2,46.53923101734,26.1686866131316,Bacau,Înălțime,6539,6537,Dosul Corbului,Geomil 25000,Limba română
Pârâul Corbu,corb,2,46.4665331320027,26.5432023235121,Bacau,Vale,14857,,Pârâul Corbu,PDT,Limba română
Pârâul Corbului,corb,2,46.542102642396,26.1644256070927,Bacau,Vale,6536,6537,Pârâul Corbului,PDT,Limba română
Pârâul Corbului,corb,2,46.4543678722673,26.4357834542051,Bacau,Vale,9541,,Pârâul Corbului,Moldova (1892-1898),Limba română
Pârâul Cuibu Corbului,corb,2,46.4038178491783,26.5198430992733,Bacau,Vale,15646,4587,Pârâul Cuibu Corbului,PDT,Limba română
Piatra Corbului,corb,2,46.5428281772615,26.4370992342064,Bacau,Înălțime,9163,,Piatra Corbului,PDT,Limba română
Piscu Corbului,corb,2,46.111422901448,26.8830641494231,Bacau,Înălțime,5307,,Piscu Corbului,PDT,Limba română
Piscul Corbului,corb,2,46.1017914734,26.8838206466,Bacau,Înălțime,5286,,Piscul Corbului,Geomil 25000,Limba română
Piscul Corbului,corb,2,46.5322553895532,26.1622684379352,Bacau,Înălțime,6537,,Piscul Corbului,PDT,Limba română,Piscul Corbului,Geomil 25000,Limba română
Dealu Corbului,corb,2,46.4493039572307,22.6593116068045,Bihor,Deal,1933,,Dealu Corbului,Geomil 25000,Limba română,Dealul Corbului,PDT,Limba română
Dealul Corbului,corb,2,46.6279938299641,22.5124807725901,Bihor,Deal,9405,,Dealul Corbului,PDT,Limba română
Dealul Corbului,corb,2,46.5386273764474,22.3741876123072,Bihor,Deal,12043,,Dealul Corbului,PDT,Limba română
Dealul Corbului,corb,2,46.9253242830037,22.1343398583605,Bihor,Deal,12362,,Dealul Corbului,PDT,Limba română
La Corbul,corb,2,46.8715376300151,21.9880475725694,Bihor,Înălțime,12369,,La Corbul,PDT,Limba română
Piatra Corbului,corb,2,46.4134332437115,22.6325291580543,Bihor,Înălțime,5612,,Piatra Corbului,Geomil 25000,Limba română
Tău Corbului,corb,2,46.7790900907363,22.4080313274626,Bihor,Altele,4128,,Tău Corbului,Geomil 25000,Limba română
Valea Corbului,corb,2,46.7239960933997,22.2734283065172,Bihor,Vale,2003,,Valea Corbului,Geomil 25000,Limba română,Valea Corbului,PDT,Limba română
Valea Corbului,corb,2,46.8652085091362,22.1880598483077,Bihor,Vale,4141,,Valea Corbului,PDT,Limba română
Valea Corbului,corb,2,46.9304080044489,22.1213599091695,Bihor,Vale,12363,12362,Valea Corbului,PDT,Limba română
Dealul Corbului,corb,2,47.2125763385815,24.4950229709574,Bistrita Nasaud,Deal,4514,,Dealul Corbului,Geomil 25000,Limba română
Dealul Corbului,corb,2,47.1548464966513,24.5887803556052,Bistrita Nasaud,Deal,9907,,Dealul Corbului,Geomil 25000,Limba română
Dealul Corbului,corb,2,47.3922944269783,24.3442819202442,Bistrita Nasaud,Deal,10647,,Dealul Corbului,Imperiul Habsburgic (1887),Limba română
Muntele Corbului,corb,2,47.5240743927761,25.0080945969122,Bistrita Nasaud,Înălțime,10774,6349,Muntele Corbului,Geomil 25000,Limba română
Piatra Corbului,corb,2,47.0902251294366,24.7154024536851,Bistrita Nasaud,Înălțime,9903,,Piatra Corbului,PDT,Limba română
Poiana Corbului,corb,2,47.1695735087909,24.5969994598352,Bistrita Nasaud,Poiană,12072,9907,Poiana Corbului,Geomil 25000,Limba română
Valea Corbului,corb,2,47.519522261974,25.011195068966,Bistrita Nasaud,Vale,6349,,Valea Corbului,PDT,Limba română
Valea Corbului,corb,2,47.2711024539782,24.5466285128963,Bistrita Nasaud,Vale,7077,,Valea Corbului,Geomil 25000,Limba română
Movila Corbul,corb,2,47.9766331109751,26.9945891976488,Botosani,Înălțime,8939,,Movila Corbul,PDT,Limba română
Piscul Corbului,corb,2,47.8704866613342,26.3647832615516,Botosani,Înălțime,1837,,Piscul Corbului,Geomil 25000,Limba română
Valea Corbu,corb,2,47.5130172161002,26.6762849532188,Botosani,Vale,9592,,Valea Corbu,Moldova (1892-1898),Limba română
Corbu Vechi,corb,2,45.4709980593166,27.6779547956981,Braila,Localitate,753,3536,Corbu Vechi,Geomil 25000,Limba română
Kurcea Korbului,corb,2,45.0862782121309,27.7325387834163,Braila,Localitate,3611,,Kurcea Korbului,Austriacă,Limba română
Colțul Corbului,corb,2,45.6396379408161,25.5673283201403,Brasov,Înălțime,2780,,Colțul Corbului,Geomil 25000,Limba română
Colțul Corbului,corb,2,45.6445268278109,25.5637646576297,Brasov,Înălțime,6837,,Colțul Corbului,PDT,Limba română
Corbi,corb,2,45.7772650208364,24.6943477308219,Brasov,Localitate,9686,,Corbi,Geomil 25000,Limba română
Corbu,corb,2,45.9729825614067,25.2533714839273,Brasov,Altele,6796,,Corbu,PDT,Limba română
Corbul Mare,corb,2,45.6830177511588,24.7273911232098,Brasov,Vale,2714,,Corbul Mare,Geomil 25000,Limba română
Culmea Corbului,corb,2,45.5802788346877,25.2033541358029,Brasov,Înălțime,610,,Culmea Corbului,Geomil 25000,Limba română
Dealul Corbului,corb,2,45.7715011394608,24.7013071472717,Brasov,Deal,9685,9686,Dealul Corbului,Geomil 25000,Limba română
Dealul Poiana Corbului,corb,2,46.1281608936238,25.1627983537599,Brasov,Deal,7945,,Dealul Poiana Corbului,PDT,Limba română
Dosul Corbului,corb,2,45.5901412075021,25.3252638857319,Brasov,Înălțime,8560,,Dosul Corbului,PDT,Limba română
Pârâul Corbilor,corb,2,45.9383772291931,25.3955402001894,Brasov,Vale,2487,,Pârâul Corbilor,Geomil 25000,Limba română
Pârâul Corbului,corb,2,45.981796508,25.242532430848,Brasov,Vale,6793,6796,Pârâul Corbului,PDT,Limba română
Părâul Corbului,corb,2,45.6492271107916,25.0680558549511,Brasov,Vale,10571,,Părâul Corbului,Imperiul Habsburgic (1887),Limba română
Piatra Corbului,corb,2,45.6262749640334,25.5539980619736,Brasov,Înălțime,2781,,Piatra Corbului,Geomil 25000,Limba română
Piscul Corbului,corb,2,45.8082016139564,24.6691056554858,Brasov,Înălțime,2676,,Piscul Corbului,Geomil 25000,Limba română
Pleșița Corbului,corb,2,45.9267895703965,25.2638250070016,Brasov,Înălțime,8551,,Pleșița Corbului,Geomil 25000,Limba română
Unghiul Corbului,corb,2,45.9628277733541,25.2550587006316,Brasov,Altele,6794,6796,Unghiul Corbului,PDT,Limba română
Valea Corbilor,corb,2,45.7662100631045,24.6982489881817,Brasov,Vale,9687,9686,Valea Corbilor,Geomil 25000,Limba română
Valea Corbului,corb,2,45.5896394775102,25.3310103684899,Brasov,Vale,8559,8560,Valea Corbului,PDT,Limba română
Corbu,corb,2,45.3210136482341,26.24816223041,Buzau,Localitate,7492,1580,Corbu,Geomil 25000,Limba română
Culmea Corbului,corb,2,45.125989074249,26.5227718480904,Buzau,Înălțime,6027,,Culmea Corbului,Geomil 25000,Limba română
Dealul Corbului,corb,2,45.4771310892353,26.3866413507626,Buzau,Deal,2811,,Dealul Corbului,Geomil 25000,Limba română
Dealul Piatra Corbului,corb,2,45.3130563242962,26.2366706852885,Buzau,Deal,1580,,Dealul Piatra Corbului,Geomil 25000,Limba română,Piatra Korbului,Austriacă,Limba română
Muchia Văii Corbului,corb,2,45.4019356303332,26.7115163506305,Buzau,Înălțime,5225,5224,Muchia Văii Corbului,Geomil 25000,Limba română
Pădurea Vârful Corbului,corb,2,45.1748047545186,26.6349434020291,Buzau,Pădure,74,73,Pădurea Vârful Corbului,Geomil 25000,Limba română,лес.  Вырфул-Корбулуй (păd. Vârful Corbului),Sovietică,Limba română
Piatra Corbului,corb,2,45.4692387506411,26.378187394502,Buzau,Înălțime,2812,2811,Piatra Corbului,Geomil 25000,Limba română
Piscul Grădina Corbilor,corb,2,45.2712073636633,26.4357102637945,Buzau,Înălțime,4003,,Piscul Grădina Corbilor,Geomil 25000,Limba română
Valea Corbului,corb,2,45.399199276219,26.7027719992104,Buzau,Vale,5224,,Valea Corbului,Geomil 25000,Limba română
Vârful Corbului,corb,2,45.1698469517093,26.6414511006768,Buzau,Înălțime,73,,Vârful Corbului,Geomil 25000,Limba română,г. Корб (Corb),Sovietică,Limba română
Cracu Corbului,corb,2,45.0272745711852,22.4913070262392,Caras Severin,Înălțime,848,,Cracu Corbului,Geomil 25000,Limba română
Culmea Corbului,corb,2,45.2595557219834,22.4236599184061,Caras Severin,Înălțime,8668,853,Culmea Corbului,PDT,Limba română
Dealu Corbului,corb,2,45.0636776202064,22.3342064298027,Caras Severin,Deal,6141,,Dealu Corbului,Geomil 25000,Limba română
Dosu Corbului,corb,2,45.0163443801086,22.4653498046916,Caras Severin,Înălțime,850,848,Dosu Corbului,Geomil 25000,Limba română
Dosu Corbului,corb,2,45.1261882584202,22.4667932770301,Caras Severin,Înălțime,1217,,Dosu Corbului,Geomil 25000,Limba română,Dosul Corbului,PDT,Limba română
Ogașu Corbului,corb,2,45.0257289364039,22.4848987803474,Caras Severin,Vale,849,848,Ogașu Corbului,Geomil 25000,Limba română
Ogașu Corbului,corb,2,45.2439984255052,22.432108250187,Caras Severin,Vale,852,853,Ogașu Corbului,Geomil 25000,Limba română
Ogașu Corbului,corb,2,44.9287362927718,22.2462878675333,Caras Severin,Vale,5721,,Ogașu Corbului,Geomil 25000,Limba română
Ogașul Corbul,corb,2,45.393924330729,21.7473171580155,Caras Severin,Altele,4318,,Ogașul Corbul,PDT,Limba română
Padina Corbului,corb,2,45.0401504484077,21.7722884591136,Caras Severin,Înălțime,8540,,Padina Corbului,PDT,Limba română
Pădurea Corbului,corb,2,45.1107721548652,21.8435015971108,Caras Severin,Pădure,15223,,Pădurea Corbului,Munții noștri,Limba română
Pârâu Corbului,corb,2,45.2543537315803,22.4454416066572,Caras Severin,Vale,8669,853,Pârâu Corbului,Geomil 25000,Limba română
Vârfu Corbului,corb,2,45.2449741195542,22.4422616781487,Caras Severin,Înălțime,853,,Vârfu Corbului,Geomil 25000,Limba română
Corbu,corb,2,46.4874417369575,23.542601476853,Cluj,Înălțime,7061,,Corbu,Geomil 25000,Limba română
Pârâu Corbului,corb,2,46.6882410204476,22.8964486222092,Cluj,Vale,12544,,Pârâu Corbului,Geomil 25000,Limba română
Pârâul Corbului,corb,2,46.6561310488431,23.5550504305112,Cluj,Vale,14017,,Pârâul Corbului,PDT,Limba română
Valea Corbului,corb,2,46.6986926988846,23.3914862107497,Cluj,Vale,2595,,Valea Corbului,Geomil 25000,Limba română
Corbii Mari,corb,2,44.5415678182144,25.5007844562989,Dambovita,Localitate,8473,,Corbii Mari,PDT,Limba română,Corbii Mari,Geomil 25000,Limba română
Dealul Corbului,corb,2,45.0936379713253,25.5855352287216,Dambovita,Deal,523,,Dealul Corbului,Geomil 25000,Limba română
Dealul Gura Corbului,corb,2,44.8110330652865,25.2681648696256,Dambovita,Deal,10155,10154,Dealul Gura Corbului,PDT,Limba română
Dealul Malu Corbului,corb,2,45.1392422840562,25.1797791127382,Dambovita,Deal,5999,,Dealul Malu Corbului,Geomil 25000,Limba română,Malu Korbului,Austriacă,Limba română
La copacul Corbului,corb,2,44.8078909133661,25.4492720727095,Dambovita,Altele,3709,,La copacul Corbului,PDT,Limba română
Valea Corbu,corb,2,44.7674831424672,25.297813607829,Dambovita,Vale,10150,,Valea Corbu,PDT,Limba română
Valea Corbul,corb,2,44.845984962401,25.2760030980968,Dambovita,Vale,10125,,Valea Corbul,PDT,Limba română
Valea Corbului,corb,2,45.0482429234579,25.2208806552501,Dambovita,Vale,8367,,Valea Corbului,PDT,Limba română
Valea Corbului,corb,2,45.0570754270905,25.3740912360164,Dambovita,Vale,8376,,Valea Corbului,PDT,Limba română
Valea Corbului,corb,2,44.8388687398429,25.2084599672009,Dambovita,Vale,10143,,Valea Corbului,PDT,Limba română
Valea Corbului,corb,2,44.8023896203765,25.2281363540371,Dambovita,Vale,10145,,Valea Corbului,PDT,Limba română
Valea Gura Corbului,corb,2,44.8167946139969,25.2772653477442,Dambovita,Vale,10154,,Valea Gura Corbului,PDT,Limba română
Valea Poiana Corbul,corb,2,45.1454310380952,25.5393324331792,Dambovita,Vale,11767,,Valea Poiana Corbul,PDT,Limba română
Vârful Piatra Corbului,corb,2,45.1717880419325,25.344072534529,Dambovita,Înălțime,1494,,Vârful Piatra Corbului,Geomil 25000,Limba română
Valea Corboaica,corboaică,3,44.8882157418485,25.2966723862738,Dambovita,Vale,10133,,Valea Corboaica,PDT,Limba română
Dealul Corbului,corb,2,44.5927985522092,23.6125876683599,Dolj,Deal,5162,,Dealul Corbului,Geomil 25000,Limba română,Dealul Corbului,PDT,Limba română
Matca Corbului,corb,2,44.5394505397565,23.5507832968162,Dolj,Vale,8287,,Matca Corbului,PDT,Limba română
Piscul Corbului,corb,2,44.5511984782045,23.6082553364453,Dolj,Înălțime,8284,,Piscul Corbului,PDT,Limba română
Valea Corbilor,corb,2,44.4372583214078,23.5779241993111,Dolj,Vale,4703,,Valea Corbilor,Geomil 25000,Limba română
Valea Corbului,corb,2,44.4330921807908,23.8229745565538,Dolj,Vale,396,,Valea Corbului,Geomil 25000,Limba română,Valea Corbului,PDT,Limba română
Valea Corbului,corb,2,44.5050731918891,23.787821271325,Dolj,Vale,4691,,Valea Corbului,PDT,Limba română
Valea Corbului,corb,2,44.5366440422418,23.6572206173015,Dolj,Vale,4719,,Valea Corbului,PDT,Limba română
Valea Corbului,corb,2,44.673277952995,23.7278529772064,Dolj,Vale,5160,,Valea Corbului,Geomil 25000,Limba română
Valea Corbului,corb,2,44.5902468225738,23.5981072131591,Dolj,Vale,5163,5162,Valea Corbului,Geomil 25000,Limba română
Valea Corbului,corb,2,44.5481716822995,23.6042179279289,Dolj,Vale,8283,8284,Valea Corbului,PDT,Limba română
Valea Corbului,corb,2,44.4918402981488,23.5123495031834,Dolj,Vale,11364,,Valea Corbului,Geomil 25000,Limba română
Valea Corbului,corb,2,44.4981834406548,23.4682454156435,Dolj,Vale,11808,,Valea Corbului,PDT,Limba română
Valea Corbului,corb,2,44.3801516075427,23.4355642866392,Dolj,Vale,14540,,Valea Corbului,PDT,Limba română
Dealul Corbului,corb,2,46.0179379577,27.765565568,Galati,Deal,7360,,Dealul Corbului,Geomil 25000,Limba română
La Cotu Corbului,corb,2,45.4924014998184,27.6489873628695,Galati,Apă-deal-câmpie,3536,,La Cotu Corbului,Geomil 25000,Limba română
Piscu Corbului,corb,2,45.9581776085187,27.2599454357262,Galati,Localitate,733,,Piscu Corbului,Geomil 25000,Limba română
Valea Corbul,corb,2,46.0002604795926,27.6298598410104,Galati,Vale,14981,,Valea Corbul,PDT,Limba română
Valea Corbului,corb,2,46.0194180634,27.7595263974,Galati,Vale,7361,7360,Valea Corbului,Geomil 25000,Limba română
Valea Corbului,corb,2,46.083182923028,27.7396912924041,Galati,Vale,14986,,Valea Corbului,PDT,Limba română
Valea Rediu Corbului,corb,2,45.7942250847694,27.9114260285509,Galati,Vale,10910,,Valea Rediu Corbului,Geomil 25000,Limba română
Corbii Ciungi,corb,2,44.5115879621649,25.5410231445385,Giurgiu,Localitate,12226,,Corbii Ciungi,PDT,Limba română
Culmea Corbului,corb,2,45.2936671779283,23.4210224393907,Gorj,Înălțime,2919,,Culmea Corbului,Geomil 25000,Limba română
Dealu Corbului,corb,2,44.9384490482135,23.1945842307447,Gorj,Deal,3112,,Dealu Corbului,Geomil 25000,Limba română,Dealu Corbului,PDT,Limba română
Dealu Corbului,corb,2,44.8835448037788,23.2995363455351,Gorj,Deal,3116,,Dealu Corbului,Geomil 25000,Limba română
Dealu Corbului,corb,2,44.8291026193002,23.4333957615958,Gorj,Deal,5117,,Dealu Corbului,Geomil 25000,Limba română
Dealu Corbului,corb,2,44.7225108841045,23.151516501582,Gorj,Deal,10700,,Dealu Corbului,Geomil 25000,Limba română
Dealu Corbului,corb,2,44.8022823051608,23.0227601062999,Gorj,Deal,11791,,Dealu Corbului,Geomil 25000,Limba română
Dealul Corbului,corb,2,44.6053347795424,23.6404178229931,Gorj,Deal,8277,,Dealul Corbului,PDT,Limba română
Dealul Dosul Corbului,corb,2,44.8776101181249,23.0585339522688,Gorj,Deal,14330,,Dealul Dosul Corbului,PDT,Limba română
Dealul Dosul Corbului,corb,2,44.9296342162916,23.2286814480253,Gorj,Deal,14978,3112,Dealul Dosul Corbului,PDT,Limba română
Gura Corbului,corb,2,44.9369304341203,23.1812202440493,Gorj,Altele,3114,3112,Gura Corbului,Geomil 25000,Limba română
În Corbu,corb,2,44.6610053793261,23.3035049670421,Gorj,Altele,7449,,În Corbu,PDT,Limba română
Pădurea Corbu,corb,2,44.8191590330743,23.0114337104716,Gorj,Pădure,11790,11791,Pădurea Corbu,Geomil 25000,Limba română
Pădurea Corbu Mare,corb,2,45.0504915917094,23.6917211289249,Gorj,Pădure,3103,,Pădurea Corbu Mare,Geomil 25000,Limba română
Pârâul Corbului,corb,2,45.2956856801671,23.4164964337,Gorj,Vale,12672,2919,Pârâul Corbului,Geomil 25000,Limba română
Riu Korbu,corb,2,45.0560664670977,23.6924140126736,Gorj,Vale,5098,3103,Riu Korbu,Austriacă,Limba română
Valea Corbu,corb,2,44.9315033381304,23.3670905043064,Gorj,Vale,10697,,Valea Corbu,Geomil 25000,Limba română
Valea Corbu,corb,2,44.8565025822137,23.7180352861348,Gorj,Vale,12685,,Valea Corbu,PDT,Limba română
Valea Corbul,corb,2,44.6270917352344,23.5859089733834,Gorj,Vale,8275,,Valea Corbul,PDT,Limba română
Valea Corbul,corb,2,44.8759279819465,23.6092622015423,Gorj,Vale,8404,,Valea Corbul,PDT,Limba română
Valea Corbului,corb,2,44.9421108071907,22.9050903316063,Gorj,Vale,204,,Valea Corbului,Geomil 25000,Limba română
Valea Corbului,corb,2,44.9353273714495,23.197323673408,Gorj,Vale,3113,3112,Valea Corbului,Geomil 25000,Limba română
Valea Corbului,corb,2,44.8926470178561,23.4929876228269,Gorj,Vale,3129,,Valea Corbului,Geomil 25000,Limba română
Valea Corbului,corb,2,44.9294005012575,23.6245561600336,Gorj,Vale,5084,,Valea Corbului,PDT,Limba română
Valea Corbului,corb,2,44.9452624312288,23.6065651818665,Gorj,Vale,8402,,Valea Corbului,PDT,Limba română
Valea Corbului,corb,2,44.7903373340885,23.7450728069823,Gorj,Vale,12681,,Valea Corbului,PDT,Limba română
Capu Corbului,corb,2,46.9988393037509,25.6340484860781,Harghita,Localitate,1888,1886,Capu Corbului,Geomil 25000,Limba română
Corbu,corb,2,46.9910799759702,25.6839651448464,Harghita,Localitate,7134,1886,Corbu,Geomil 25000,Limba română
Dealul Corbului,corb,2,46.982585300834,25.6221122805992,Harghita,Deal,1887,1886,Dealul Corbului,Geomil 25000,Limba română
Vârful Capul Corbului,corb,2,46.9830244945132,25.625705307296,Harghita,Înălțime,1886,,Vârful Capul Corbului,Geomil 25000,Limba română
Câmpul Corbului,corb,2,45.4553346146124,23.0775050677338,Hunedoara,Câmp,11232,11233,Câmpul Corbului,ANCPI,Limba română
Corbul,corb,2,45.9566569413412,22.4320383058011,Hunedoara,Înălțime,6202,,Corbul,PDT,Limba română
Corbul,corb,2,45.9605531427187,22.4431542282175,Hunedoara,Înălțime,10228,,Corbul,Geomil 25000,Limba română
